,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,_merge
103,Cherokee County,46790,47007.0,47136.0,47832.0,48315.0,48751.0,49162.0,49669.0,49976.0,50447.0,TX,50941,51090.0,51277.0,51093.0,51189.0,51568.0,51879.0,52116.0,52381.0,52646.0,both
104,Childress County,7676,7531.0,7428.0,7411.0,7366.0,7205.0,7214.0,7148.0,7123.0,7030.0,TX,7070,7027.0,7100.0,7055.0,7196.0,7169.0,7204.0,7269.0,7315.0,7306.0,both
105,Clay County,11064,11131.0,11292.0,11270.0,11278.0,11317.0,11157.0,11051.0,10843.0,10832.0,TX,10737,10668.0,10523.0,10455.0,10377.0,10359.0,10251.0,10484.0,10448.0,10471.0,both
106,Cochran County,3707,3674.0,3521.0,3490.0,3373.0,3338.0,3257.0,3194.0,3100.0,3086.0,TX,3147,3082.0,3028.0,3009.0,2945.0,2977.0,2921.0,2853.0,2831.0,2853.0,both
107,Coke County,3844,3810.0,3732.0,3678.0,3559.0,3540.0,3492.0,3375.0,3348.0,3310.0,TX,3319,3266.0,3202.0,3180.0,3217.0,3227.0,3259.0,3285.0,3355.0,3387.0,both
108,Coleman County,9180,9103.0,8937.0,8827.0,8817.0,8739.0,8853.0,8774.0,8899.0,8867.0,TX,8870,8743.0,8667.0,8526.0,8416.0,8316.0,8412.0,8399.0,8367.0,8175.0,both
109,Collin County,499118,534642.0,563565.0,589394.0,617802.0,647187.0,683935.0,714330.0,741264.0,765791.0,TX,787614,812540.0,835230.0,856398.0,884688.0,915243.0,943742.0,971864.0,1004307.0,1034730.0,both
110,Collingsworth County,3193,3086.0,3093.0,3026.0,3028.0,2980.0,2952.0,2973.0,3017.0,3042.0,TX,3054,3085.0,3024.0,3100.0,3016.0,3010.0,3007.0,2964.0,2942.0,2920.0,both
111,Colorado County,20326,20125.0,20328.0,20507.0,20450.0,20493.0,20608.0,20648.0,20818.0,20784.0,TX,20872,20806.0,20724.0,20717.0,20696.0,20951.0,21081.0,21291.0,21305.0,21493.0,both
112,Comal County,78583,80630.0,82797.0,84837.0,88119.0,91018.0,95637.0,99540.0,103272.0,106350.0,TX,109306,112113.0,114873.0,118627.0,123214.0,128795.0,134343.0,140721.0,148141.0,156209.0,both
113,Comanche County,13998,13710.0,13582.0,13526.0,13646.0,13746.0,13814.0,13775.0,13834.0,13912.0,TX,13953,13867.0,13723.0,13554.0,13472.0,13395.0,13543.0,13533.0,13540.0,13635.0,both
114,Concho County,3963,3921.0,3959.0,3991.0,4018.0,4039.0,3957.0,4018.0,4108.0,4076.0,TX,4102,4124.0,4085.0,4122.0,4089.0,4072.0,4140.0,2707.0,2683.0,2726.0,both
115,Cooke County,36433,36844.0,37390.0,37598.0,37815.0,38143.0,38241.0,38252.0,38223.0,38413.0,TX,38472,38443.0,38717.0,38456.0,38764.0,39170.0,39343.0,39932.0,40504.0,41257.0,both
116,Coryell County,75199,74083.0,73135.0,71364.0,71943.0,72610.0,72217.0,73324.0,74552.0,74673.0,TX,75651,76625.0,78458.0,76761.0,76166.0,76145.0,74803.0,74760.0,74741.0,75951.0,both
117,Cottle County,1883,1774.0,1726.0,1699.0,1679.0,1653.0,1577.0,1513.0,1527.0,1509.0,TX,1512,1507.0,1485.0,1442.0,1429.0,1439.0,1402.0,1375.0,1382.0,1398.0,both
118,Crane County,3951,3893.0,3891.0,3847.0,3865.0,3840.0,3855.0,3976.0,4157.0,4333.0,TX,4382,4358.0,4525.0,4718.0,4897.0,4995.0,4779.0,4685.0,4755.0,4797.0,both
119,Crockett County,4012,3844.0,3841.0,3862.0,3857.0,3851.0,3739.0,3759.0,3783.0,3740.0,TX,3701,3652.0,3705.0,3763.0,3790.0,3735.0,3642.0,3535.0,3439.0,3464.0,both
120,Crosby County,7053,6955.0,6852.0,6718.0,6625.0,6521.0,6466.0,6262.0,6192.0,6057.0,TX,6026,6044.0,6036.0,5924.0,5825.0,5918.0,5911.0,5849.0,5764.0,5737.0,both
121,Culberson County,2948,2865.0,2829.0,2778.0,2695.0,2648.0,2587.0,2536.0,2490.0,2384.0,TX,2403,2393.0,2316.0,2306.0,2282.0,2254.0,2220.0,2230.0,2194.0,2171.0,both
122,Dallam County,6224,6210.0,6159.0,6148.0,6208.0,6238.0,6205.0,6336.0,6506.0,6571.0,TX,6747,6888.0,7059.0,7110.0,7214.0,7301.0,7357.0,7272.0,7303.0,7287.0,both
123,Dallas County,2220848,2249418.0,2250326.0,2246432.0,2244020.0,2250830.0,2275434.0,2291891.0,2314018.0,2346378.0,TX,2372993,2408697.0,2455930.0,2484486.0,2519410.0,2557830.0,2591488.0,2620154.0,2629350.0,2635516.0,both
