,BUYER_STATE,BUYER_COUNTY,YEAR,MME
481,CO,SEDGWICK,2009,156398970.0
482,CO,SEDGWICK,2010,213911194.28000003
483,CO,SEDGWICK,2011,517687936.50000006
484,CO,SEDGWICK,2012,623975658.15
485,CO,SEDGWICK,2013,353577270.33750004
486,CO,SEDGWICK,2014,297805688.09999996
487,CO,SUMMIT,2006,10512705353.64
488,CO,SUMMIT,2007,12794192206.667002
489,CO,SUMMIT,2008,11472551937.000002
490,CO,SUMMIT,2009,10944766445.925
491,CO,SUMMIT,2010,13344837044.43
492,CO,SUMMIT,2011,17536325457.137497
493,CO,SUMMIT,2012,20951313823.2624
494,CO,SUMMIT,2013,16778990663.911573
495,CO,SUMMIT,2014,16709423105.851076
496,CO,TELLER,2006,9296121712.712
497,CO,TELLER,2007,11964088921.257
498,CO,TELLER,2008,19536075513.359997
499,CO,TELLER,2009,24858138251.55
500,CO,TELLER,2010,29768515960.26705
501,CO,TELLER,2011,41164473716.492775
502,CO,TELLER,2012,55710443417.398
503,CO,TELLER,2013,50132114734.65493
504,CO,TELLER,2014,49556171187.19249
505,CO,WASHINGTON,2006,46927920.0
506,CO,WASHINGTON,2007,32416280.000000004
507,CO,WASHINGTON,2008,26552196.776525
508,CO,WELD,2006,663094035082.9806
509,CO,WELD,2007,871725813031.5261
510,CO,WELD,2008,1131059703631.0605
511,CO,WELD,2009,1341195439818.2188
512,CO,WELD,2010,1775278285488.759
513,CO,WELD,2011,2298323805693.512
514,CO,WELD,2012,2574186322371.0396
515,CO,WELD,2013,2277921282883.4873
516,CO,WELD,2014,1909654345995.8867
517,CO,YUMA,2006,873408384.254
518,CO,YUMA,2007,1114724569.6125
519,CO,YUMA,2008,1388855002.8000002
520,CO,YUMA,2009,1897220055.8875
521,CO,YUMA,2010,1849408713.3125
522,CO,YUMA,2011,2021950234.5575001
523,CO,YUMA,2012,2532656314.7556
524,CO,YUMA,2013,3396780367.662975
525,CO,YUMA,2014,3120596812.9599996
